Timestamp,velocidad_viento,precipitacion,humedad,temperatura,presion_superficie,radiacion_solar,radiacion_infrarroja
2025-01-12 21:00:00,4.35393,0.0,0.0031908,289.024,99069.9,514.569,299.688
2025-01-13 00:00:00,3.47748,0.0,0.00394159,288.072,99057.5,304.207,301.08
2025-01-13 03:00:00,0.90118,0.0,0.00473652,283.824,99200.2,12.9946,298.573
2025-01-13 06:00:00,3.68169,0.0,0.00281585,283.599,99340.4,0.0,287.686
2025-01-13 09:00:00,3.82253,0.0,0.00212493,282.334,99340.6,0.0,276.891
2025-01-13 12:00:00,3.70092,0.0,0.00206043,281.912,99351.8,0.0,269.698
2025-01-13 15:00:00,4.06662,0.0,0.00204252,281.617,99492.8,5.56028,267.692
2025-01-13 18:00:00,2.61405,0.0,0.00265531,287.879,99601.7,261.515,273.409
2025-01-13 21:00:00,4.06435,0.0,0.00281288,288.259,99435.6,516.948,292.959
2025-01-14 00:00:00,0.329365,1.19209e-07,0.00320625,287.887,99462.9,306.235,295.988
2025-01-14 03:00:00,4.19592,2.98023e-07,0.00264322,284.162,99551.6,13.179,292.409
2025-01-14 06:00:00,4.99655,1.04308e-07,0.00227806,282.784,99711.3,0.0,278.527
2025-01-14 09:00:00,5.39741,4.76837e-07,0.00211259,281.659,99719.4,0.0,271.462
2025-01-14 12:00:00,6.1458,7.45058e-07,0.00193843,280.882,99675.5,0.0,266.625
2025-01-14 15:00:00,6.41905,4.76837e-07,0.00192641,281.054,99741.3,5.77079,263.817
2025-01-14 18:00:00,3.81651,7.7486e-07,0.00239739,288.192,99820.9,263.474,271.2
2025-01-14 21:00:00,1.36052,1.78814e-07,0.00230938,289.019,99502.2,519.411,292.561
2025-01-15 00:00:00,1.18699,0.0,0.0031594,288.704,99409.1,308.341,296.606
2025-01-15 03:00:00,5.03273,0.0,0.00239093,284.187,99578.6,13.3708,294.042
2025-01-15 06:00:00,4.64066,0.0,0.00206093,282.542,99686.2,0.0,277.061
2025-01-15 09:00:00,4.34779,0.0,0.00189273,282.132,99609.3,0.0,269.889
2025-01-15 12:00:00,4.02118,0.0,0.00182066,282.272,99542.1,0.0,267.762
2025-01-15 15:00:00,3.70825,0.0,0.00180699,282.129,99576.5,5.99048,267.528
2025-01-15 18:00:00,1.6083,0.0,0.00265675,288.802,99720.2,265.506,274.516
2025-01-15 21:00:00,4.44992,0.0,0.00300576,287.402,99532.0,521.956,294.955
2025-01-16 00:00:00,0.579684,0.0,0.0034098,286.187,99518.8,310.522,293.351
2025-01-16 03:00:00,1.74597,0.0,0.00345792,283.539,99605.2,13.57,289.275
2025-01-16 06:00:00,2.90452,0.0,0.00247194,283.427,99621.3,0.0,280.999
2025-01-16 09:00:00,2.00774,0.0,0.00243064,282.519,99558.7,0.0,275.304
2025-01-16 12:00:00,1.38312,0.0,0.00281559,281.779,99467.1,0.0,272.468
2025-01-16 15:00:00,1.48878,0.0,0.00294762,282.049,99464.4,6.21945,272.528
2025-01-16 18:00:00,3.23422,0.0,0.00284835,287.667,99595.2,230.6,298.103
2025-01-16 21:00:00,1.40557,0.0,0.00480374,285.942,99450.3,394.976,335.463
2025-01-17 00:00:00,1.75033,0.0,0.00498123,285.879,99419.4,228.247,344.004
2025-01-17 03:00:00,0.378823,0.0,0.00546528,281.742,99518.9,10.4701,314.182
2025-01-17 06:00:00,1.64724,0.0,0.00498085,281.342,99619.2,0.0,286.635
2025-01-17 09:00:00,1.63227,0.0,0.00442891,280.767,99569.2,0.0,284.102
2025-01-17 12:00:00,1.58172,0.0,0.00407237,280.302,99537.3,0.0,278.524
2025-01-17 15:00:00,2.20155,0.0,0.00395021,280.457,99616.1,5.41737,284.174
2025-01-17 18:00:00,0.986223,0.0,0.00407056,285.407,99765.2,249.362,294.884
2025-01-17 21:00:00,3.95389,0.0,0.00522774,285.949,99521.4,483.073,310.018
2025-01-18 00:00:00,2.79455,0.0,0.00565495,285.132,99482.8,313.894,300.581
2025-01-18 03:00:00,0.534602,0.0,0.00576489,281.492,99605.4,13.7498,297.012
2025-01-18 06:00:00,1.73685,0.0,0.00544354,281.062,99641.0,0.0,298.554
2025-01-18 09:00:00,2.0376,0.0,0.00497129,280.712,99619.2,0.0,293.869
2025-01-18 12:00:00,2.27093,0.0,0.00475322,280.697,99553.6,0.0,283.041
2025-01-18 15:00:00,2.01254,0.0,0.00430216,280.522,99639.6,5.54871,294.985
2025-01-18 18:00:00,2.84135,0.0,0.00488672,285.772,99715.5,271.337,285.198
2025-01-18 21:00:00,4.11582,0.0,0.00621282,286.279,99539.2,530.069,299.166
2025-01-19 00:00:00,2.66526,0.0,0.0065447,285.137,99545.8,315.394,308.199
2025-01-19 03:00:00,0.893323,0.0,0.00600397,281.432,99633.4,12.9406,319.869
2025-01-19 06:00:00,0.392458,0.0,0.00579953,281.057,99685.6,0.0,305.398
